timestamp,latitude,longitude,altitude,nic,nac_p,gpsOkBefore,callsign,aircraft_type,radio_horizon
4/8/2024 23:33,41.236019,36.931541,27475,0,0,0,TKJ85C,A320,1072340.011
4/8/2024 23:35,41.054764,33.930359,36000,6,0,0,,A320,1227481.373
4/8/2024 23:36,32.915644,29.636517,39000,6,0,0,BAW4TH,A20N,1277603.119
4/8/2024 23:36,35.764709,30.928116,39000,0,9,0,THY920,B738,1277603.119
4/8/2024 23:41,41.210787,37.230731,24125,0,0,1712612435,TKJ7CP,B738,1004840.94
4/8/2024 23:44,41.948959,36.288279,37000,0,0,0,AAR502,A359,1244412.95
4/8/2024 23:47,40.900284,39.697037,34000,0,0,1712612771,BEL7WC,A320,1192897.473
4/8/2024 23:56,33.741623,24.727478,35000,0,0,0,FBU70A,A35K,1210312.955
4/8/2024 23:56,33.71402,24.757017,39025,0,0,0,ETH729,A359,1278012.542
4/8/2024 23:57,28.336258,33.934655,32000,0,0,0,NIA162,A321,1157280.536
4/8/2024 23:57,40.614761,36.545105,39000,0,9,0,UAE42,B77W,1277603.119
4/9/2024 0:00,37.602814,25.646063,39000,0,0,0,ETH715,B788,1277603.119
4/9/2024 0:00,40.927143,29.047478,21250,0,0,0,THY3PQ,A21N,943068.2571
4/9/2024 0:00,40.55983,36.339539,39000,0,0,0,QTR9J,A35K,1277603.119
4/9/2024 0:03,34.561432,30.384764,33000,6,9,0,AEE928,A320,1175223.94
4/9/2024 0:05,30.084183,31.351588,32000,0,0,0,ABY620,A321,1157280.536
4/9/2024 0:08,42.218037,33.477196,41000,0,0,0,HKC375,A332,1309952.621
4/9/2024 0:11,31.349579,44.050869,35975,0,0,0,SAW747,A320,1227055.09
4/9/2024 0:12,33.790421,24.675686,31000,0,0,0,AFFGSQO,B77W,1139054.507
4/9/2024 0:14,33.326706,25.685431,39000,0,0,0,,A333,1277603.119
4/9/2024 0:21,33.769085,24.698296,37000,0,0,0,QTR8Q,B77L,1244412.95
4/9/2024 0:24,33.672638,24.801075,38975,0,0,0,ETD83W,B789,1277193.565
4/9/2024 0:32,33.803879,24.660271,41000,0,0,0,,A359,1309952.621
